,商品名称,商品编号,商品毛重,商品产地,搭配主板,板型,处理器,店铺,M.2接口数量,RGB,适用CPU接口,质保期,是否支持PCIE4.0,INTEL芯片,Wi-Fi连接,SSD固态硬盘接口,适用场景,IDE接口,声道,DDR代数,内存插槽,内存标准,最大内存容量,PCI 插槽,PCI Express x16,PCI Express x1,接口,集成显卡,最大网络速度,平台类型,品牌,型号,板型大小,电源接口,适用游戏,AMD芯片,SATA,RAID支持,声卡特色,PCI Express x4,兼容系列,系统风扇插座,USB扩展接口,CPU风扇插座,RJ 45网络接口,USB,音频接口,HDMI接口,PS/2,游戏特色,货号,IEEE 1394扩展接口,LPT扩展接口,光纤接口,S/PDIF 同轴接口,ESATA,声卡类型,产品净重,产品尺寸（mm）,COM扩展接口,网卡类型,质保年限
44,技嘉（GIGABYTE）B460MAORUSELITE小雕主板+CPU套装电脑板u套装B560MAORUSELITE小雕三年质保中文盒装,47690411421,1.25kg,,,M-ATX（紧凑型）,,灵竞DIY旗舰店,2个,不是RGB,INTELLGA1200,3年以上质保,不支持PCIE4.0,B460,不支持,SATA接口，M.2接口(NVMe协议)，M.2接口（SATA总线）,优选系列,无,7.1声道,DDR4,4xddr4内存插槽,DDR42400；DDR42666；DDR42800；DDR43000,128GB,0个,1个,1个,INTELLGA1200,非集成显卡,10M/100M/1000M,Intel平台,技嘉GIGABYTE,技嘉B460MAORUSELITE,24.4cmx24.4cm,24+8,英雄联盟，刺客信条，DOTA2,,6个,RAID0，RAID1，RAID5，RAID10,支持2/4/5.1/7.1声道,1个,,3组,6组,,1个,6个,3x3.5mm接口,1个,1xPS/2键鼠接口,技嘉AORUS,,0组,1组,1x光纤接口,1个,0组,RealtekALC1220-VB,,,1组,Intel网卡,
45,技嘉（GIGABYTE）Z490/Z590AORUS小雕pro/超级雕台式电脑游戏主板ATX大板Z590AORUSELITEAX,69004376437,1.73kg,,,ATX（标准型）,,技嘉旗舰店,1个,RGB,intel其他,3年质保,不支持PCIE4.0,Z590,支持WIFI,M.2接口(NVMe协议),发烧/超频，家用/办公,无,其他,DDR4,4xddr4内存插槽,DDR42400；DDR42666；DDR43000；DDR43200；DDR43600；DDR44000及以上,128GB,0个,1个,1个,INTEL其他,非集成显卡,10M/100M/1000M,Intel平台,技嘉GIGABYTE,Z390/Z490/Z590,,24+12,战地5,,6个,RAID0，RAID1，RAID5，RAID10,,0个,,,2组,,1个,8个,,1个,无,技嘉AORUS，技嘉GAMING,,,,,,,,,,,,
46,华硕PRIMEX570-P,100006445344,1.29kg,中国大陆,,ATX（标准型）,,,2个,不是RGB,AMDAM4,3年质保,支持PCIE4.0,,不支持WiFi,SATA接口，M.2接口(NVMe协议)，M.2接口（SATA总线）,发烧/超频，家用/办公，优选系列,无,8声道,DDR4,4xddr4,DDR42133；DDR42400；DDR42666；DDR42800；DDR43000；DDR43200；DDR43600；DDR44000及以上,128GB,0个,2个,3个,AMDAM4,非集成显卡,10M/100M/1000M,AMD平台,,PRIMEX570-P,,24+12,,X570,,,,,AMDAM4插槽第3代和第2代AMD锐龙/第2代和第1代AMD锐龙搭载RadeonVegaGraphics处理器,,,,,,,,,其他,,,,,,,,,,,,
47,技嘉Z490AORUSMASTER,100007014979,2.64kg,中国,,ATX（标准型）,,,2个,RGB,INTELLGA1200,3年质保,支持PCIE4.0,Z490,Wi-Fi6,SATA接口，M.2接口(NVMe协议)，M.2接口（SATA总线）,发烧/超频,无,其他,DDR4,其他,DDR42133；DDR42400；DDR42666；DDR43000；DDR43200,128GB,0个,1个,0个,INTELLGA1200,非集成显卡,其他,Intel平台,技嘉GIGABYTE,Z490AORUSMASTER,305x244mm,24+16,,,6个,,支持DTS：X?Ultra；支持HighDefinitionAudio；支持2/4/5.1/7.1声道；支持S/PDIF输出,1个,,,,,,,,,,技嘉AORUS,,,,,,,,,,,Intel网卡,
48,华硕PRIMEX570-P,100006445344,1.29kg,中国大陆,,ATX（标准型）,,,2个,不是RGB,AMDAM4,3年质保,支持PCIE4.0,,不支持WiFi,SATA接口，M.2接口(NVMe协议)，M.2接口（SATA总线）,发烧/超频，家用/办公，优选系列,无,8声道,DDR4,4xddr4,DDR42133；DDR42400；DDR42666；DDR42800；DDR43000；DDR43200；DDR43600；DDR44000及以上,128GB,0个,2个,3个,AMDAM4,非集成显卡,10M/100M/1000M,AMD平台,,PRIMEX570-P,,24+12,,X570,,,,,AMDAM4插槽第3代和第2代AMD锐龙/第2代和第1代AMD锐龙搭载RadeonVegaGraphics处理器,,,,,,,,,其他,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,华硕（ASUS）TUFB360M-PLUSGAMING游戏主板支持9100F\/9400F,10179407852,1.0kg,,,,,余新电脑配件专营店,2个,RGB,,3年质保,不支持PCIE4.0,,不支持,SATA接口，M.2接口(NVMe协议)，M.2接口（SATA总线）,家用/办公,无,其他,DDR4,其他,,其他,0个,,,,非集成显卡,其他,Intel平台,华硕ASUS,B360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,技嘉主板CPU套装i31010010100F10105F盒装处理器电脑配件非散片B460MH板U套装i310105【十代带核显】,48241870830,2.0kg,,intel其他,M-ATX（紧凑型）,Inteli3,爵扬旗舰店,,,,,,,,,,,,,,,,,,,INTEL1151（九代），INTEL1151（八代）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5kg,350*250*150,,,
52,华硕TUFGAMINGB560M-PLUS,100018548564,1.32kg,中国大陆,,M-ATX（紧凑型）,,,2个,ARGB,INTELLGA1200,3年质保,支持PCIE4.0,B560,不支持,SATA接口，M.2接口(NVMe协议)，M.2接口（SATA总线）,发烧/超频，家用/办公，优选系列,无,7.1声道,DDR4,4xddr4内存插槽,DDR42200；DDR42400；DDR42666；DDR42800；DDR43000；DDR43200；DDR43400；DDR43600；DDR43800；DDR44000及以上,128GB,0个,2个,1个,INTELLGA1200,非集成显卡,2500M,Intel平台,华硕ASUS,TUFGAMINGB560M-PLUS,24.4cmx24.4cm,24+8,英雄联盟，魔兽世界，Apex英雄,,6个,,电竞音效,0个,,,,,1个,8个,5x3.5mm接口,1个,,华硕TUF,,,,,1个,,ALC887/897,,,,,
53,英特尔i711700/11900K十一代搭华硕B560/Z490/Z590CPU主板套装游戏套装PRIMEZ590-P性价超频大板(11代)i711700K8核16线程/核显,10028639002976,3.0kg,中国大陆,Z490,M-ATX（紧凑型）,Inteli7,嘉合数码专营店,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3kg,244,,,
54,华硕（ASUS）PRIMEZ490-P,68968327183,1.16kg,,,ATX（标准型）,,,2个,不是RGB,intel其他,3年质保,不支持PCIE4.0,,不支持,SATA接口,家用/办公,1个,其他,DDR4,其他,DDR44000及以上,其他,0个,2个,4个,INTEL其他,非集成显卡,其他,Intel平台,,PRIMEZ490-P,,24+12,梦幻西游2,,,,,0个,,,,,,,,,,,90MB12V0-M0CAY0,0组,,,,0组,,,,,,
55,华硕（ASUS）ROGB365-GGAMING,10037253129138,2.0kg,,intel其他,M-ATX（紧凑型）,其他,硕纬图数码专营店,,,,,,,,,,,,,,,,,,,INTEL1151（九代），INTEL1151（八代）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1kg,244*244,,,
56,技嘉A320M-S2H,100000449979,0.725kg,中国,,M-ATX（紧凑型）,,,1个,不是RGB,AMDAM4,3年质保,不支持PCIE4.0,,不支持,SATA接口，M.2接口(NVMe协议)，M.2接口（SATA总线）,发烧/超频,无,其他,DDR4,其他,DDR42133；DDR42400；DDR42666；DDR43200,32GB,0个,1个,2个,AMDAM4,非集成显卡,10M/100M/1000M,AMD平台,技嘉GIGABYTE,A320M-S2H,24.4cmx19.5cm,其他,,A320,,,,,,,,,,,,1个,,技嘉UD耐久,,,,,,,RealtekALC887,,,,,
57,,10033534103818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,精粤B250主板1151针DDR4/DDR3内存i38100/9100超H310/B365主板B250M-VDH,10024522738398,500.00g,中国大陆,,M-ATX（紧凑型）,,精粤电脑配件官方旗舰店,1个,不是RGB,INTEL1151（九代），INTEL1151（八代）,3年质保,不支持PCIE4.0,B250,不支持,M.2接口(NVMe协议),发烧/超频，优选系列,1个,5.1声道,DDR4,其他,DDR42133；DDR42200；DDR42400；DDR42666；DDR42800,64GB,2个,1个,1个,INTEL1151（九代）,是集成显卡,10M/100M/1000M,Intel平台,其它,B250,,24+8,英雄联盟，守望先锋，使命召唤11，孤岛惊魂4,,6个,,,0个,,,,,,12个,3x3.5mm接口,1个,1xPS/2键盘接口，1xPS/2鼠标接口,,B250,0组,,1x光纤接口,,0组,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,华硕TUFGAMINGB550M-PLUS(WI-FI),100013699280,1.36kg,中国大陆,,M-ATX（紧凑型）,,,2个,ARGB,AMDAM4,3年质保,支持PCIE4.0,,Wi-Fi6,SATA接口，M.2接口(NVMe协议)，M.2接口（SATA总线）,发烧/超频，家用/办公，优选系列,无,7.1声道,DDR4,4xddr4内存插槽,DDR42666；DDR42800；DDR43000；DDR43200；DDR43400；DDR43600；DDR43800；DDR44000及以上,128GB,0个,2个,1个,AMDAM4,非集成显卡,2500M,AMD平台,华硕ASUS,TUFGAMINGB550M-PLUS(WI-FI),24.4cmx24.4cm,24+8,,B550,4个,,,,,,,,1个,8个,5x3.5mm接口,1个,1xPS/2键鼠接口,华硕TUF,,,,,1个,,S1200A,,,,,
61,技嘉B450/B550AMD主板支持R53500X/3600/5600X/GM/ATX/ITXB450MAORUSELITE『信仰新小雕』,64036191869,1.67kg,,,M-ATX（紧凑型）,,技嘉旗舰店,1个,RGB,AMDAM4,3年质保,不支持PCIE4.0,,不支持,SATA接口，M.2接口(NVMe协议),发烧/超频，家用/办公,无,其他,DDR4,4xddr4内存插槽,DDR42133；DDR42200；DDR42400；DDR42666；DDR42800,64GB,0个,1个,,AMDAM4,非集成显卡,10M/100M/1000M,AMD平台,技嘉GIGABYTE,B450/B550系列,,,战地5,B450,,,,0个,,,,,,,3x3.5mm接口,1个,,技嘉AORUS，技嘉UD耐久,,0组,1组,1x光纤接口,1个,0组,,,,,,
62,华硕PRIMEX570-P,100006445344,1.29kg,中国大陆,,ATX（标准型）,,,2个,不是RGB,AMDAM4,3年质保,支持PCIE4.0,,不支持WiFi,SATA接口，M.2接口(NVMe协议)，M.2接口（SATA总线）,发烧/超频，家用/办公，优选系列,无,8声道,DDR4,4xddr4,DDR42133；DDR42400；DDR42666；DDR42800；DDR43000；DDR43200；DDR43600；DDR44000及以上,128GB,0个,2个,3个,AMDAM4,非集成显卡,10M/100M/1000M,AMD平台,,PRIMEX570-P,,24+12,,X570,,,,,AMDAM4插槽第3代和第2代AMD锐龙/第2代和第1代AMD锐龙搭载RadeonVegaGraphics处理器,,,,,,,,,其他,,,,,,,,,,,,
63,华硕华硕TUFGAMINGB560M-PLUSWIFI重炮手主板+英特尔(intel)i7-11700酷睿CPU处理器板U套装CPU主板套装,100010608607,2.0kg,中国大陆,B560,M-ATX（紧凑型）,Inteli7,,,,,,,,,,,,,,,,,,,,INTELLGA1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0kg,0,,,
64,华硕华硕TUFGAMINGB560M-PLUSWIFI重炮手主板+英特尔(intel)i7-11700酷睿CPU处理器板U套装CPU主板套装,100010608607,2.0kg,中国大陆,B560,M-ATX（紧凑型）,Inteli7,,,,,,,,,,,,,,,,,,,,INTELLGA1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0kg,0,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,华硕华硕TUFGAMINGB560M-PLUSWIFI重炮手主板+英特尔(intel)i7-11700酷睿CPU处理器板U套装CPU主板套装,100010608607,2.0kg,中国大陆,B560,M-ATX（紧凑型）,Inteli7,,,,,,,,,,,,,,,,,,,,INTELLGA1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0kg,0,,,
67,华硕（ASUS）PRIMEB460M大师系列电竞游戏主板支持I510400PRIMEB460M-K,69844100947,0.8kg,,,M-ATX（紧凑型）,,华硕(ASUS)华之硕专卖店,1个,不是RGB,INTELLGA1200,3年质保,不支持PCIE4.0,B460,不支持WiFi,M.2接口(NVMe协议),家用/办公,无,7.1声道,DDR4,其他,DDR42133；DDR42400；DDR42666；DDR42800,64GB,0个,1个,2个,INTEL其他,非集成显卡,10M/100M/1000M,Intel平台,华硕ASUS,PRIMEB460M,22.6x21.1cm,24+8,,其他,6个,RAID0，RAID1，RAID5，RAID10,,,,,,,,,,,,,,,,,,,RealtekALC887,,,,,
68,华硕华硕TUFGAMINGB560M-PLUSWIFI重炮手主板+英特尔(intel)i7-11700酷睿CPU处理器板U套装CPU主板套装,100010608607,2.0kg,中国大陆,B560,M-ATX（紧凑型）,Inteli7,,,,,,,,,,,,,,,,,,,,INTELLGA1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0kg,0,,,
69,微星（MSI）R33200G,10026621071860,1.5kg,中国大陆,B450,M-ATX（紧凑型）,锐龙5,卡姆利旗舰店,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5kg,150,,,
70,华硕（ASUS）PRIMEZ490-P,68968327183,1.16kg,,,ATX（标准型）,,,2个,不是RGB,intel其他,3年质保,不支持PCIE4.0,,不支持,SATA接口,家用/办公,1个,其他,DDR4,其他,DDR44000及以上,其他,0个,2个,4个,INTEL其他,非集成显卡,其他,Intel平台,,PRIMEZ490-P,,24+12,梦幻西游2,,,,,0个,,,,,,,,,,,90MB12V0-M0CAY0,0组,,,,0组,,,,,,
71,华硕TUFGAMINGB550M-PLUS(WI-FI),100013699280,1.36kg,中国大陆,,M-ATX（紧凑型）,,,2个,ARGB,AMDAM4,3年质保,支持PCIE4.0,,Wi-Fi6,SATA接口，M.2接口(NVMe协议)，M.2接口（SATA总线）,发烧/超频，家用/办公，优选系列,无,7.1声道,DDR4,4xddr4内存插槽,DDR42666；DDR42800；DDR43000；DDR43200；DDR43400；DDR43600；DDR43800；DDR44000及以上,128GB,0个,2个,1个,AMDAM4,非集成显卡,2500M,AMD平台,华硕ASUS,TUFGAMINGB550M-PLUS(WI-FI),24.4cmx24.4cm,24+8,,B550,4个,,,,,,,,1个,8个,5x3.5mm接口,1个,1xPS/2键鼠接口,华硕TUF,,,,,1个,,S1200A,,,,,
72,微星MPGZ490GAMINGPLUS,100007074505,1.645kg,中国大陆,,ATX（标准型）,,,2个,ARGB,INTELLGA1200,3年质保,支持PCIE4.0,Z490,不支持,SATA接口，M.2接口(NVMe协议)，M.2接口（SATA总线）,发烧/超频,无,7.1声道,DDR4,4xddr4内存插槽,DDR42133；DDR42200；DDR42400；DDR42666；DDR42800；DDR43000；DDR43200；DDR43400；DDR43600；DDR43800；DDR44000及以上,128GB,0个,2个,3个,INTELLGA1200,非集成显卡,其他,Intel平台,微星MSI,MPGZ490GAMINGPLUS,,24+12,英雄联盟，守望先锋，魔兽世界，Apex英雄,,,,,,支持第十代英特尔?酷睿?处理器,,,,,,,,,微星GAMING,,,,,,,RealtekALC892,,,,,
73,华硕华硕TUFGAMINGB560M-PLUSWIFI重炮手主板+英特尔(intel)i7-11700酷睿CPU处理器板U套装CPU主板套装,100010608607,2.0kg,中国大陆,B560,M-ATX（紧凑型）,Inteli7,,,,,,,,,,,,,,,,,,,,INTELLGA1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0kg,0,,,
74,技嘉B450/B550AMD主板支持R53500X/3600/5600X/GM/ATX/ITXB450MAORUSELITE『信仰新小雕』,64036191869,1.67kg,,,M-ATX（紧凑型）,,技嘉旗舰店,1个,RGB,AMDAM4,3年质保,不支持PCIE4.0,,不支持,SATA接口，M.2接口(NVMe协议),发烧/超频，家用/办公,无,其他,DDR4,4xddr4内存插槽,DDR42133；DDR42200；DDR42400；DDR42666；DDR42800,64GB,0个,1个,,AMDAM4,非集成显卡,10M/100M/1000M,AMD平台,技嘉GIGABYTE,B450/B550系列,,,战地5,B450,,,,0个,,,,,,,3x3.5mm接口,1个,,技嘉AORUS，技嘉UD耐久,,0组,1组,1x光纤接口,1个,0组,,,,,,
75,华硕TUFGAMINGB550M-PLUS(WI-FI),100013699280,1.36kg,中国大陆,,M-ATX（紧凑型）,,,2个,ARGB,AMDAM4,3年质保,支持PCIE4.0,,Wi-Fi6,SATA接口，M.2接口(NVMe协议)，M.2接口（SATA总线）,发烧/超频，家用/办公，优选系列,无,7.1声道,DDR4,4xddr4内存插槽,DDR42666；DDR42800；DDR43000；DDR43200；DDR43400；DDR43600；DDR43800；DDR44000及以上,128GB,0个,2个,1个,AMDAM4,非集成显卡,2500M,AMD平台,华硕ASUS,TUFGAMINGB550M-PLUS(WI-FI),24.4cmx24.4cm,24+8,,B550,4个,,,,,,,,1个,8个,5x3.5mm接口,1个,1xPS/2键鼠接口,华硕TUF,,,,,1个,,S1200A,,,,,
76,技嘉CPU主板套装,100013496990,2.5kg,中国大陆,B460,M-ATX（紧凑型）,Inteli5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2kg,1*1*1,,,
77,华硕TUFGAMINGZ590-PLUSWIFI,100017892176,1.21kg,中国大陆,,ATX（标准型）,,,3个,ARGB,INTELLGA1200,3年质保,支持PCIE4.0,Z590,Wi-Fi6,SATA接口，M.2接口(NVMe协议)，M.2接口（SATA总线）,发烧/超频，家用/办公，优选系列,无,7.1声道,DDR4,4xddr4内存插槽,DDR42133；DDR42200；DDR42400；DDR42666；DDR42800；DDR43000；DDR43200；DDR43400；DDR43600；DDR43800；DDR44000及以上,128GB,0个,2个,2个,INTELLGA1200,非集成显卡,2500M,Intel平台,华硕ASUS,TUFGAMINGZ590-PLUSWIFI,30.5cmx24.4cm,24+12,英雄联盟，魔兽世界，吃鸡游戏，Apex英雄,,6个,,电竞音效,0个,"支持采用英特尔?LGA1200规格插槽的第十一代/第十代英特尔?酷睿?,奔腾?Gold和赛扬?处理器",,,,1个,,5x3.5mm接口,1个,,华硕TUF,,,,,1个,,S1200A,,,,Intel网卡,
78,华硕PRIMEX570-P,100006445344,1.29kg,中国大陆,,ATX（标准型）,,,2个,不是RGB,AMDAM4,3年质保,支持PCIE4.0,,不支持WiFi,SATA接口，M.2接口(NVMe协议)，M.2接口（SATA总线）,发烧/超频，家用/办公，优选系列,无,8声道,DDR4,4xddr4,DDR42133；DDR42400；DDR42666；DDR42800；DDR43000；DDR43200；DDR43600；DDR44000及以上,128GB,0个,2个,3个,AMDAM4,非集成显卡,10M/100M/1000M,AMD平台,,PRIMEX570-P,,24+12,,X570,,,,,AMDAM4插槽第3代和第2代AMD锐龙/第2代和第1代AMD锐龙搭载RadeonVegaGraphics处理器,,,,,,,,,其他,,,,,,,,,,,,
79,技嘉B450/B550AMD主板支持R53500X/3600/5600X/GM/ATX/ITXB450MAORUSELITE『信仰新小雕』,64036191869,1.67kg,,,M-ATX（紧凑型）,,技嘉旗舰店,1个,RGB,AMDAM4,3年质保,不支持PCIE4.0,,不支持,SATA接口，M.2接口(NVMe协议),发烧/超频，家用/办公,无,其他,DDR4,4xddr4内存插槽,DDR42133；DDR42200；DDR42400；DDR42666；DDR42800,64GB,0个,1个,,AMDAM4,非集成显卡,10M/100M/1000M,AMD平台,技嘉GIGABYTE,B450/B550系列,,,战地5,B450,,,,0个,,,,,,,3x3.5mm接口,1个,,技嘉AORUS，技嘉UD耐久,,0组,1组,1x光纤接口,1个,0组,,,,,,
80,AMD锐龙五代新品5600X5800X5900X5950X搭华硕X570主板CPU套装ROGSTRIXX570-EGAMINGR75800X（散片）,10026190080484,2.0kg,,X570,ATX（标准型）,锐龙7,英强科技专营店,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2kg,*,,,
81,华硕TUFGAMINGB550M-PLUS(WI-FI),100013699280,1.36kg,中国大陆,,M-ATX（紧凑型）,,,2个,ARGB,AMDAM4,3年质保,支持PCIE4.0,,Wi-Fi6,SATA接口，M.2接口(NVMe协议)，M.2接口（SATA总线）,发烧/超频，家用/办公，优选系列,无,7.1声道,DDR4,4xddr4内存插槽,DDR42666；DDR42800；DDR43000；DDR43200；DDR43400；DDR43600；DDR43800；DDR44000及以上,128GB,0个,2个,1个,AMDAM4,非集成显卡,2500M,AMD平台,华硕ASUS,TUFGAMINGB550M-PLUS(WI-FI),24.4cmx24.4cm,24+8,,B550,4个,,,,,,,,1个,8个,5x3.5mm接口,1个,1xPS/2键鼠接口,华硕TUF,,,,,1个,,S1200A,,,,,
82,华硕华硕TUFGAMINGB560M-PLUSWIFI重炮手主板+英特尔(intel)i7-11700酷睿CPU处理器板U套装CPU主板套装,100010608607,2.0kg,中国大陆,B560,M-ATX（紧凑型）,Inteli7,,,,,,,,,,,,,,,,,,,,INTELLGA1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0kg,0,,,
83,华硕华硕TUFGAMINGB560M-PLUSWIFI重炮手主板+英特尔(intel)i7-11700酷睿CPU处理器板U套装CPU主板套装,100010608607,2.0kg,中国大陆,B560,M-ATX（紧凑型）,Inteli7,,,,,,,,,,,,,,,,,,,,INTELLGA1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0kg,0,,,
84,英特尔i711700/11900K十一代搭华硕B560/Z490/Z590CPU主板套装游戏套装PRIMEZ590-P性价超频大板(11代)i711700K8核16线程/核显,10028639002976,3.0kg,中国大陆,Z490,M-ATX（紧凑型）,Inteli7,嘉合数码专营店,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3kg,244,,,
85,华硕TUFGAMINGB550M-PLUS(WI-FI),100013699280,1.36kg,中国大陆,,M-ATX（紧凑型）,,,2个,ARGB,AMDAM4,3年质保,支持PCIE4.0,,Wi-Fi6,SATA接口，M.2接口(NVMe协议)，M.2接口（SATA总线）,发烧/超频，家用/办公，优选系列,无,7.1声道,DDR4,4xddr4内存插槽,DDR42666；DDR42800；DDR43000；DDR43200；DDR43400；DDR43600；DDR43800；DDR44000及以上,128GB,0个,2个,1个,AMDAM4,非集成显卡,2500M,AMD平台,华硕ASUS,TUFGAMINGB550M-PLUS(WI-FI),24.4cmx24.4cm,24+8,,B550,4个,,,,,,,,1个,8个,5x3.5mm接口,1个,1xPS/2键鼠接口,华硕TUF,,,,,1个,,S1200A,,,,,
86,华硕TUFGAMINGB550M-PLUS(WI-FI),100013699280,1.36kg,中国大陆,,M-ATX（紧凑型）,,,2个,ARGB,AMDAM4,3年质保,支持PCIE4.0,,Wi-Fi6,SATA接口，M.2接口(NVMe协议)，M.2接口（SATA总线）,发烧/超频，家用/办公，优选系列,无,7.1声道,DDR4,4xddr4内存插槽,DDR42666；DDR42800；DDR43000；DDR43200；DDR43400；DDR43600；DDR43800；DDR44000及以上,128GB,0个,2个,1个,AMDAM4,非集成显卡,2500M,AMD平台,华硕ASUS,TUFGAMINGB550M-PLUS(WI-FI),24.4cmx24.4cm,24+8,,B550,4个,,,,,,,,1个,8个,5x3.5mm接口,1个,1xPS/2键鼠接口,华硕TUF,,,,,1个,,S1200A,,,,,
87,技嘉B450/B550AMD主板支持R53500X/3600/5600X/GM/ATX/ITXB450MAORUSELITE『信仰新小雕』,64036191869,1.67kg,,,M-ATX（紧凑型）,,技嘉旗舰店,1个,RGB,AMDAM4,3年质保,不支持PCIE4.0,,不支持,SATA接口，M.2接口(NVMe协议),发烧/超频，家用/办公,无,其他,DDR4,4xddr4内存插槽,DDR42133；DDR42200；DDR42400；DDR42666；DDR42800,64GB,0个,1个,,AMDAM4,非集成显卡,10M/100M/1000M,AMD平台,技嘉GIGABYTE,B450/B550系列,,,战地5,B450,,,,0个,,,,,,,3x3.5mm接口,1个,,技嘉AORUS，技嘉UD耐久,,0组,1组,1x光纤接口,1个,0组,,,,,,
88,微星B560MMORTAR,100019686776,1.66kg,中国大陆,,M-ATX（紧凑型）,,,2个,ARGB,INTELLGA1200,3年质保,支持PCIE4.0,B560,不支持,SATA接口，M.2接口(NVMe协议)，M.2接口（SATA总线）,家用/办公，优选系列,无,7.1声道,DDR4,4xddr4内存插槽,DDR42133；DDR42200；DDR42400；DDR42666；DDR42800；DDR43000；DDR43200；DDR43400；DDR43600；DDR43800；DDR44000及以上,128GB,0个,2个,1个,INTELLGA1200,非集成显卡,其他,Intel平台,微星MSI,MAGB560MMORTAR,244x244,24+8,英雄联盟，魔兽世界，吃鸡游戏，Apex英雄,,6个,,,,"支持第十代和十一代Intel?Core?处理器,Intel?Pentium?,Celeron?处理器",,,,1个,,,1个,,微星GAMING,,,,1x光纤接口,,,,,,,,
89,微星（MSI）Z490M\/B460M\/B560M系列游戏电脑主板支持10代intelCPUB460MPRO-VDHWIFI全国联保,10026274350861,2.1kg,,,M-ATX（紧凑型）,,奥都数码专营店,1个,RGB,intel其他,3年质保,支持PCIE4.0,,Wi-Fi6,SATA接口，M.2接口(NVMe协议)，M.2接口（SATA总线）,发烧/超频，家用/办公，优选系列,无,7.1声道,DDR4,4xddr2内存插槽，4xddr3内存插槽,DDR42200；DDR43000；DDR43200；DDR42800；DDR43800；DDR42666；DDR43600；DDR42400；DDR43400,64GB,2个,2个,1个,INTEL其他,是集成显卡,其他,Intel平台,,Z490,,其他,英雄联盟，吃鸡游戏，DOTA2，武装突袭3,,,,,2个,,,,,,,,,,微星GAMING,,,,,,,,,,,,
90,华硕华硕TUFGAMINGB560M-PLUSWIFI重炮手主板+英特尔(intel)i7-11700酷睿CPU处理器板U套装CPU主板套装,100010608607,2.0kg,中国大陆,B560,M-ATX（紧凑型）,Inteli7,,,,,,,,,,,,,,,,,,,,INTELLGA1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0kg,0,,,
91,华硕TUFGAMINGB560M-PLUSWIFI,100010397513,1.38kg,中国大陆,,M-ATX（紧凑型）,,,2个,ARGB,INTELLGA1200,3年质保,支持PCIE4.0,B560,Wi-Fi6,SATA接口，M.2接口(NVMe协议)，M.2接口（SATA总线）,发烧/超频，家用/办公，优选系列,无,7.1声道,DDR4,4xddr4内存插槽,DDR42133；DDR42200；DDR42400；DDR42666；DDR42800；DDR43000；DDR43200；DDR43400；DDR43600；DDR43800；DDR44000及以上,128GB,0个,2个,1个,INTELLGA1200,非集成显卡,2500M,Intel平台,华硕ASUS,TUFGAMINGB560M-PLUSWIFI,24.4cmx24.4cm,24+8,英雄联盟，魔兽世界，Apex英雄,,6个,,电竞音效,0个,,,,,1个,8个,5x3.5mm接口,1个,,华硕TUF,,,,,1个,,ALC887/897,,,,,
92,华硕（ASUS）Z590,10020894609423,1.42kg,中国大陆,,ATX（标准型）,,新东海晨旭电脑配件专营店,3个,ARGB,INTELLGA1200,3年质保,支持PCIE4.0,Z590,不支持,SATA接口，M.2接口(NVMe协议)，M.2接口（SATA总线）,发烧/超频，家用/办公,无,7.1声道,DDR4,4xddr4内存插槽,DDR42666；DDR44000及以上；DDR43400；DDR43600；DDR42400；DDR42133；DDR42200；DDR43000；DDR43200,128GB,0个,2个,2个,INTELLGA1200,非集成显卡,10M/100M/1000M,Intel平台,华硕ASUS,PRIMEZ590-P,30.5cmx23.4cm,24+12,英雄联盟，坦克世界，守望先锋,,4个,,,,,,,,,,,,,,,,,,,,,,,,,
